央视卫视,#genre#
CCTV-1综合,http://221.226.4.10:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://221.226.4.10:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://221.226.4.10:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://221.226.4.10:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://221.226.4.10:85/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-6电影,http://221.226.4.10:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://221.226.4.10:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://221.226.4.10:85/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://221.226.4.10:85/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://221.226.4.10:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://182.32.159.109:85/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://221.226.4.10:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://221.226.4.10:85/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-14少儿,http://221.226.4.10:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://182.32.159.109:85/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?ey=txiptv
CCTV-17农业农村,http://182.32.159.109:85/tsfile/live/1007_1.m3u8?key=txiptv
CCTV-5+体育赛事,http://221.226.4.10:85/tsfile/live/0005_1.m3u8?key=txiptv
北京卫视,http://221.226.4.10:85/tsfile/live/1012_1.m3u8?key=txiptv
天津卫视,http://221.226.4.10:85/tsfile/live/1014_1.m3u8?key=txiptv
东方卫视,http://221.226.4.10:85/tsfile/live/1013_1.m3u8?key=txiptv
东南卫视,http://221.226.4.10:85/tsfile/live/0137_1.m3u8?key=txiptv
海南卫视,http://221.226.4.10:85/tsfile/live/1025_1.m3u8?key=txiptv
广东卫视,http://221.226.4.10:85/tsfile/live/1022_1.m3u8?key=txiptv
广西卫视,http://221.226.4.10:85/tsfile/live/1024_1.m3u8?key=txiptv
深圳卫视,http://221.226.4.10:85/tsfile/live/1023_1.m3u8?key=txiptv
江苏卫视,http://221.226.4.10:85/tsfile/live/1006_1.m3u8?key=txiptv
江西卫视,http://60.174.40.117:85/tsfile/live/0138_1.m3u8?key=txiptv
浙江卫视,http://221.226.4.10:85/tsfile/live/1018_1.m3u8?key=txiptv
湖南卫视,http://221.226.4.10:85/tsfile/live/1016_1.m3u8?key=txiptv
湖北卫视,http://221.226.4.10:85/tsfile/live/1017_1.m3u8?key=txiptv
安徽卫视,http://221.226.4.10:85/tsfile/live/0130_1.m3u8?key=txiptv
山东卫视,http://221.226.4.10:85/tsfile/live/1021_1.m3u8?key=txiptv
山西卫视,http://221.226.4.10:85/tsfile/live/0118_1.m3u8?key=txiptv
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://221.226.4.10:85/tsfile/live/0139_1.m3u8?key=txiptv
河北卫视,http://60.174.40.117:85/tsfile/live/1035_1.m3u8?key=txiptv
厦门卫视,http://60.174.40.117:85/tsfile/live/0129_1.m3u8?key=txiptv
龙江卫视,http://221.226.4.10:85/tsfile/live/1019_1.m3u8?key=txiptv
吉林卫视,http://221.226.4.10:85/tsfile/live/0116_1.m3u8?key=txiptv
辽宁卫视,http://221.226.4.10:85/tsfile/live/1020_1.m3u8?key=txiptv
云南卫视,http://60.174.40.117:85/tsfile/live/0119_1.m3u8?key=txiptv
贵州卫视,http://221.226.4.10:85/tsfile/live/0120_1.m3u8?key=txiptv
四川卫视,http://221.226.4.10:85/tsfile/live/0123_1.m3u8?key=txiptv
重庆卫视,http://221.226.4.10:85/tsfile/live/1015_1.m3u8?key=txiptv
陕西卫视,http://171.15.18.199:8180/TV00000000000000000039@HHZT?iptv
甘肃卫视,http://60.174.40.117:85/tsfile/live/0141_1.m3u8?key=txiptv
宁夏卫视,http://110.80.17.38:9999/tsfile/live/0016_1.m3u8?y=txiptv
青海卫视,http://221.226.4.10:85/tsfile/live/0140_1.m3u8?key=txiptv
内蒙卫视,http://8.138.7.223/tv/nmgws.m3u8?/index.m3u8?u8key=txiptv
西藏卫视,http://xxwx.yoesun.com/xxw/西藏网.php?id=ws&3u8key=txiptv
新疆卫视,http://110.80.17.38:9999/tsfile/live/0018_1.m3u8?y=txiptv
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8?8key=txiptv
三沙卫视,http://pullsstv90080111.ssws.tv/live/SSTV20230221.m3u8?tv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv?3u8y=txiptv
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8?live/111.m3u8?y=txiptv
卡酷少儿,http://sh.lnott.top:880/dx92.m3u8?/0139_1.m3u8?key=txiptv
哈哈炫动,http://sh.lnott.top:880/dx89.m3u8?/0138_1.m3u8?key=txiptv
嘉佳卡通,http://sh.lnott.top:880/dx67.m3u8?/0137_1.m3u8?key=txiptv
优漫卡通,http://sh.lnott.top:880/dx90.m3u8?/0136_1.m3u8?key=txiptv
金鹰卡通,http://sh.lnott.top:880/dx88.m3u8?/0135_1.m3u8?key=txiptv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv?y=txiptv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv?txiptv
邵氏电影,http://120.76.248.139/live/lunbo/ssdy.m3u8?邵氏key=txiptv
 
CCTV-1综合,http://182.32.159.109:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://182.32.159.109:85/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://182.32.159.109:85/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://182.32.159.109:85/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://182.32.159.109:85/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-6电影,http://182.32.159.109:85/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://182.32.159.109:85/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://182.32.159.109:85/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://182.32.159.109:85/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://182.32.159.109:85/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://182.32.159.109:85/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://182.32.159.109:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://182.32.159.109:85/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14少儿,http://182.32.159.109:85/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://182.32.159.109:85/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?ey=txiptv
CCTV-17农业农村,http://182.32.159.109:85/tsfile/live/1007_1.m3u8?key=txiptv
CCTV-5+体育赛事,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?ey=txiptv 
北京卫视,http://182.32.159.109:85/tsfile/live/0122_1.m3u8?key=txiptv
天津卫视,http://182.32.159.109:85/tsfile/live/0135_1.m3u8?key=txiptv
东方卫视,http://182.32.159.109:85/tsfile/live/0107_1.m3u8?key=txiptv
东南卫视,http://182.32.159.109:85/tsfile/live/0137_1.m3u8?key=txiptv
海南卫视,http://182.32.159.109:85/tsfile/live/0114_1.m3u8?key=txiptv
广东卫视,http://182.32.159.109:85/tsfile/live/0125_1.m3u8?key=txiptv
广西卫视,http://110.80.17.38:9999/tsfile/live/0113_1.m3u8?key=txiptv
深圳卫视,http://182.32.159.109:85/tsfile/live/0126_1.m3u8?key=txiptv
江苏卫视,http://182.32.159.109:85/tsfile/live/0127_1.m3u8?key=txiptv
江西卫视,http://110.80.17.38:9999/tsfile/live/0138_2.m3u8?key=txiptv
浙江卫视,http://182.32.159.109:85/tsfile/live/0124_1.m3u8?key=txiptv
湖南卫视,http://182.32.159.109:85/tsfile/live/0128_1.m3u8?key=txiptv
湖北卫视,http://182.32.159.109:85/tsfile/live/0132_1.m3u8?key=txiptv
安徽卫视,http://182.32.159.109:85/tsfile/live/0130_1.m3u8?key=txiptv
山东卫视,http://182.32.159.109:85/tsfile/live/0131_1.m3u8?key=txiptv
山西卫视,http://110.80.17.38:9999/tsfile/live/0118_1.m3u8?key=txiptv
教育卫视,http://182.32.159.109:85/tsfile/live/1011_1.m3u8?key=txiptv
河南卫视,http://60.174.40.117:85/tsfile/live/1034_1.m3u8??key=txiptv
河北卫视,http://182.32.159.109:85/tsfile/live/0117_1.m3u8?key=txiptv
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8?key=txiptv
龙江卫视,http://182.32.159.109:85/tsfile/live/0143_1.m3u8?key=txiptv
吉林卫视,http://182.32.159.109:85/tsfile/live/0136_1.m3u8?key=txiptv
辽宁卫视,http://182.32.159.109:85/tsfile/live/0121_1.m3u8?key=txiptv
云南卫视,http://60.174.40.117:85/tsfile/live/0119_1.m3u8??key=txiptv
贵州卫视,http://60.174.40.117:85/tsfile/live/0120_1.m3u8??key=txiptv
四川卫视,http://182.32.159.109:85/tsfile/live/0123_1.m3u8?key=txiptv
重庆卫视,http://182.32.159.109:85/tsfile/live/0142_1.m3u8?key=txiptv
陕西卫视,http://171.15.18.199:8180/TV00000000000000000039@HHZT?xiptv
甘肃卫视,http://110.80.17.38:9999/tsfile/live/0141_1.m3u8?key=txiptv
宁夏卫视,http://110.80.17.38:9999/tsfile/live/0016_1.m3u8?key=txiptv
青海卫视,http://182.32.159.109:85/tsfile/live/0140_1.m3u8?key=txiptv
内蒙卫视,http://8.138.7.223/tv/nmgws.m3u8?/index.m3u8?m3u8key=txiptv
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=0&1_1.m3u8?key=txiptv
新疆卫视,http://110.80.17.38:9999/tsfile/live/0018_1.m3u8?key=txiptv
兵团卫视,http://110.80.17.38:9999/tsfile/live/0015_1.m3u8?key=txiptv
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws&u8?key=txiptv
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv?key=txiptv
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8?live/111.m3u8?key=txiptv
卡酷少儿,http://zqh2333.top:2222/rtp/239.93.24.208:5140?u8key=txiptv
哈哈炫动,http://zqh2333.top:2222/rtp/239.93.24.33:5140?3u8key=txiptv
嘉佳卡通,http://zqh2333.top:2222/rtp/239.93.24.246:5140?u8key=txiptv
优漫卡通,http://zqh2333.top:2222/rtp/239.93.24.32:5140?3u8key=txiptv
金鹰卡通,http://110.80.17.38:9999/tsfile/live/0016_2.m3u8?key=txiptv
重温经典,http://mtw.so/5NPX0U?token=1ed267b5898246f3ecc2225659fef6e1
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv?y=txiptv
邵氏电影,http://120.76.248.139/live/lunbo/ssdy.m3u8?2.m3u8key=txiptv
 
CCTV-1综合,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://61.184.46.85:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://61.184.46.85:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://61.184.46.85:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-6电影,http://61.184.46.85:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://61.184.46.85:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://61.184.46.85:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://61.184.46.85:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://61.184.46.85:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://61.184.46.85:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://61.184.46.85:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://61.184.46.85:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14少儿,http://61.184.46.85:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://60.174.40.117:85/tsfile/live/0015_1.m3u8??key=txiptv
CCTV-16奥林匹克,http://zqh2333.top:2222/rtp/239.93.55.54:5140?3u8key=txiptv
