央视高频,#genre#

CCTV-1综合,http://222.218.122.23:8188/udp/239.81.0.102:4056
CCTV-2财经,http://222.218.122.23:8188/udp/239.81.0.115:4056
CCTV-3综艺,http://222.218.122.23:8188/udp/239.81.0.231:4056
CCTV-4中文国际,http://222.218.122.23:8188/udp/239.81.0.96:4056
CCTV-5体育,http://222.218.122.23:8188/udp/239.81.0.232:4056
CCTV-6电影,http://222.218.122.23:8188/udp/239.81.0.233:4056
CCTV-7国防军事,http://222.218.122.23:8188/udp/239.81.0.116:4056
CCTV-8电视剧,http://222.218.122.23:8188/udp/239.81.0.234:4056
CCTV-9纪录,http://222.218.122.23:8188/udp/239.81.0.117:4056
CCTV-10科教,http://222.218.122.23:8188/udp/239.81.0.118:4056
CCTV-11戏曲,http://222.218.122.23:8188/udp/239.81.0.229:4056
CCTV-12社会与法,http://222.218.122.23:8188/udp/239.81.0.119:4056
CCTV-13新闻,http://222.218.122.23:8188/udp/239.81.0.206:4056
CCTV-14少儿,http://222.218.122.23:8188/udp/239.81.0.120:4056
CCTV-15音乐,http://222.218.122.23:8188/udp/239.81.0.230:4056
CCTV-17农业农村,http://222.218.122.23:8188/udp/239.81.0.228:4056
CCTV-16奥林匹克,http://220.169.109.72:802/udp/239.76.253.98:9000
CCTV-5+体育赛事,http://222.218.122.23:8188/udp/239.81.0.101:4056
北京卫视,http://222.218.122.23:8188/udp/239.81.0.109:4056
天津卫视,http://222.218.122.23:8188/udp/239.81.0.113:4056
东方卫视,http://222.218.122.23:8188/udp/239.81.0.111:4056
东南卫视,http://222.218.122.23:8188/udp/239.81.0.215:4056
海南卫视,http://222.218.122.23:8188/udp/239.81.0.48:4056
广东卫视,http://222.218.122.23:8188/udp/239.81.0.104:4056
广西卫视,http://222.218.122.23:8188/udp/239.81.0.107:4056
深圳卫视,http://222.218.122.23:8188/udp/239.81.0.103:4056
江苏卫视,http://222.218.122.23:8188/udp/239.81.0.106:4056
江西卫视,http://222.218.122.23:8188/udp/239.81.0.204:4056
浙江卫视,http://222.218.122.23:8188/udp/239.81.0.108:4056
湖南卫视,http://222.218.122.23:8188/udp/239.81.0.110:4056
湖北卫视,http://222.218.122.23:8188/udp/239.81.0.112:4056
安徽卫视,http://222.218.122.23:8188/udp/239.81.0.211:4056
山东卫视,http://222.218.122.23:8188/udp/239.81.0.114:4056
山西卫视,http://222.218.122.23:8188/udp/239.81.0.49:4056
教育卫视,http://222.218.122.23:8188/udp/239.81.0.93:4056
河南卫视,http://222.218.122.23:8188/udp/239.81.0.44:4056
河北卫视,http://222.218.122.23:8188/udp/239.81.0.94:4056
厦门卫视,http://222.218.122.23:8188/udp/239.81.0.212:4056
龙江卫视,http://222.218.122.23:8188/udp/239.81.0.105:4056
吉林卫视,http://222.218.122.23:8188/udp/239.81.0.58:4056
辽宁卫视,http://222.218.122.23:8188/udp/239.81.0.210:4056
云南卫视,http://222.218.122.23:8188/udp/239.81.0.45:4056
贵州卫视,http://222.218.122.23:8188/udp/239.81.0.95:4056
四川卫视,http://222.218.122.23:8188/udp/239.81.0.130:4056
重庆卫视,http://222.218.122.23:8188/udp/239.81.0.47:4056
陕西卫视,http://222.218.122.23:8188/udp/239.81.0.89:4056
甘肃卫视,http://222.218.122.23:8188/udp/239.81.0.207:4056
宁夏卫视,http://222.218.122.23:8188/udp/239.81.0.60:4056
青海卫视,http://222.218.122.23:8188/udp/239.81.0.53:4056
内蒙卫视,http://222.218.122.23:8188/udp/239.81.0.54:4056
西藏卫视,http://222.218.122.23:8188/udp/239.81.0.55:4056
新疆卫视,http://222.218.122.23:8188/udp/239.81.0.46:4056
兵团卫视,http://222.218.122.23:8188/udp/239.81.0.213:4056
三沙卫视,http://222.218.122.23:8188/udp/239.81.0.242:4056
卡酷少儿,http://222.218.122.23:8188/udp/239.81.0.62:4056
哈哈炫动,http://171.15.18.199:8180/TV00000000000000000023@HHZT             
优漫卡通,http://171.15.18.199:8180/TV00000000000000000019@HHZT
嘉佳卡通,http://222.218.122.23:8188/udp/239.81.0.64:4056
金鹰卡通,http://222.218.122.23:8188/udp/239.81.0.61:4056



CCTV-1综合,http://1.180.2.93:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-2财经,http://1.180.2.93:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-3综艺,http://1.180.2.93:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-4中文国际,http://1.180.2.93:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5体育,http://1.180.2.93:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-6电影,http://1.180.2.93:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7国防军事,http://1.180.2.93:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8电视剧,http://1.180.2.93:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9纪录,http://1.180.2.93:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10科教,http://1.180.2.93:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11戏曲,http://1.180.2.93:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12社会与法,http://1.180.2.93:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-13新闻,http://1.180.2.93:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14少儿,http://1.180.2.93:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-15音乐,http://1.180.2.93:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8?key=txiptv
CCTV-17农业农村,http://1.180.2.93:9901/tsfile/live/0019_1.m3u8?key=txiptv
CCTV-5+体育赛事,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8?key=txiptv
北京卫视,http://1.180.2.93:9901/tsfile/live/0122_1.m3u8?key=txiptv
天津卫视,http://1.180.2.93:9901/tsfile/live/0135_1.m3u8?key=txiptv
东方卫视,http://1.180.2.93:9901/tsfile/live/0107_1.m3u8?key=txiptv
东南卫视,http://1.180.2.93:9901/tsfile/live/0137_1.m3u8?key=txiptv
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
广东卫视,http://1.197.85.44:85/tsfile/live/0125_1.m3u8?key=txiptv
广西卫视,http://58.221.214.82:9901/tsfile/live/0113_1.m3u8?key=txiptv
深圳卫视,http://58.221.214.82:9901/tsfile/live/0126_1.m3u8?key=txiptv
江苏卫视,http://1.197.85.44:85/tsfile/live/0127_1.m3u8?key=txiptv
江西卫视,http://1.197.85.44:85/tsfile/live/0138_1.m3u8?key=txiptv
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8?key=txiptv
湖南卫视,http://1.180.2.93:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖北卫视,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8?key=txiptv
安徽卫视,http://1.197.85.44:85/tsfile/live/0130_1.m3u8?key=txiptv
山东卫视,http://1.197.85.44:85/tsfile/live/0131_1.m3u8?key=txiptv
山西卫视,http://58.221.214.82:9901/tsfile/live/0017_1.m3u8?key=txiptv
教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://1.197.85.44:85/tsfile/live/0139_1.m3u8?key=txiptv
河北卫视,http://1.180.2.93:9901/tsfile/live/0117_1.m3u8?key=txiptv
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8?key=txiptv
龙江卫视,http://1.197.85.44:85/tsfile/live/0143_1.m3u8?key=txiptv
吉林卫视,http://1.180.2.93:9901/tsfile/live/0116_1.m3u8?key=txiptv
辽宁卫视,http://1.197.85.44:85/tsfile/live/0121_1.m3u8?key=txiptv
云南卫视,http://1.197.85.44:85/tsfile/live/0119_1.m3u8?key=txiptv
贵州卫视,http://1.180.2.93:9901/tsfile/live/0120_1.m3u8?key=txiptv
四川卫视,http://58.221.214.82:9901/tsfile/live/0123_1.m3u8?key=txiptv
重庆卫视,http://58.221.214.82:9901/tsfile/live/0142_1.m3u8?key=txiptv
陕西卫视,http://1.197.85.44:85/tsfile/live/0136_1.m3u8?key=txiptv
甘肃卫视,http://60.174.40.117:85/tsfile/live/0141_1.m3u8?key=txiptv
宁夏卫视,http://110.80.17.38:9999/tsfile/live/0016_1.m3u8?key=txiptv
青海卫视,http://58.221.214.82:9901/tsfile/live/0018_1.m3u8?key=txiptv
内蒙卫视,http://1.180.2.93:9901/tsfile/live/0109_1.m3u8?key=txiptv
西藏卫视,http://xxwx.yoesun.com/xxw/西藏网.php?id=ws&key=txiptv
新疆卫视,http://1.180.2.93:9901/tsfile/live/0110_1.m3u8?key=txiptv
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8?u8key=txiptv
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws&?key=txiptv
卡酷少儿,http://1.180.2.93:9901/tsfile/live/1017_1.m3u8?key=txiptv
哈哈炫动,http://1.180.2.93:9901/tsfile/live/1011_1.m3u8?key=txiptv
优漫卡通,http://1.180.2.93:9901/tsfile/live/1014_1.m3u8?key=txiptv
嘉佳卡通,http://1.180.2.93:9901/tsfile/live/1032_1.m3u8?key=txiptv
金鹰卡通,http://1.180.2.93:9901/tsfile/live/1012_1.m3u8?key=txiptv

CCTV-1综合,http://110.177.144.14:9003/hls/1/index.m3u8
CCTV-2财经,http://110.177.144.14:9003/hls/2/index.m3u8
CCTV-3综艺,http://110.177.144.14:9003/hls/3/index.m3u8
CCTV-4中文国际,http://110.177.144.14:9003/hls/4/index.m3u8
CCTV-5体育,http://110.177.144.14:9003/hls/5/index.m3u8
CCTV-6电影,http://110.177.144.14:9003/hls/7/index.m3u8
CCTV-7国防军事,http://110.177.144.14:9003/hls/8/index.m3u8
CCTV-8电视剧,http://110.177.144.14:9003/hls/9/index.m3u8
