BST央视,#genre#
CCTV-1,http://219.139.231.165:34567/bst/cctv1hd@4000000.m3u8
CCTV-2,http://219.139.231.165:34567/bst/cctv2hd8m@8000000.m3u8
CCTV-3,http://219.139.231.165:34567/bst/cctv3hd@4000000.m3u8
CCTV-4,http://219.139.231.165:34567/bst/cctv4hd4m@4000000.m3u8
CCTV-5,http://219.139.231.165:34567/bst/cctv5hdhai@4000000.m3u8
CCTV-5+,http://219.139.231.165:34567/bst/cctv5phd@4000000.m3u8

CCTV-6,http://219.139.231.165:34567/bst/cctv6hd@4000000.m3u8
CCTV-7,http://219.139.231.165:34567/bst/cctv7hd4m@4000000.m3u8
CCTV-8,http://219.139.231.165:34567/bst/cctv8hd@4000000.m3u8
CCTV-9,http://219.139.231.165:34567/bst/cctv9hd4mc@4000000.m3u8
CCTV-10,http://219.139.231.165:34567/bst/cctv10hd@4000000.m3u8
CCTV-11,http://219.139.231.165:34567/bst/cctv11hd4m@4000000.m3u8
CCTV-12,http://219.139.231.165:34567/bst/cctv12hd4m@4000000.m3u8
CCTV-13,http://219.139.231.165:34567/bst/cctv13hd4m@4000000.m3u8
CCTV-14,http://219.139.231.165:34567/bst/cctvsehd@4000000.m3u8
CCTV-15,http://219.139.231.165:34567/bst/cctvyyhd4m@4000000.m3u8
CCTV-16,http://219.139.231.165:34567/bst/cctv16hd4m@4000000.m3u8
CCTV-17,http://219.139.231.165:34567/bst/cctv17hd4m@4000000.m3u8

BST卫视,#genre#
吉林卫视,http://219.139.231.165:34567/bst/jlwshd4m@4000000.m3u8
辽宁卫视,http://219.139.231.165:34567/bst/lnwshd@4000000.m3u8
湖北卫视,http://219.139.231.165:34567/bst/hbwshd@4000000.m3u8
湖南卫视,http://219.139.231.165:34567/bst/hnwshd@4000000.m3u8
江苏卫视,http://219.139.231.165:34567/bst/jswshd@4000000.m3u8
浙江卫视,http://219.139.231.165:34567/bst/zjwshd@4000000.m3u8
重庆卫视,http://219.139.231.165:34567/bst/cqwshd4m@4000000.m3u8
安多卫视,http://219.139.231.165:34567/bst/adws2d5m@2500000.m3u8
安徽卫视,http://219.139.231.165:34567/bst/ahwshd@4000000.m3u8
北京卫视,http://219.139.231.165:34567/bst/bjwshd@4000000.m3u8
福建东南卫视,http://219.139.231.165:34567/bst/dnwshd@4000000.m3u8
甘肃卫视,http://219.139.231.165:34567/bst/gswshd4m@4000000.m3u8
广东深圳卫视,http://219.139.231.165:34567/bst/szwshd@4000000.m3u8
广东卫视,http://219.139.231.165:34567/bst/gdwshd@4000000.m3u8
广西卫视,http://219.139.231.165:34567/bst/gxwshd4m@4000000.m3u8
贵州卫视,http://219.139.231.165:34567/bst/gzwshd4m@4000000.m3u8
海南三沙卫视,http://219.139.231.165:34567/bst/ssws2d5m@2500000.m3u8
海南卫视,http://219.139.231.165:34567/bst/hainwshd4m@4000000.m3u8
河北卫视,http://219.139.231.165:34567/bst/hbwshd4m@4000000.m3u8
河南卫视,http://219.139.231.165:34567/bst/henwshd4m@4000000.m3u8
黑龙江卫视,http://219.139.231.165:34567/bst/hljwshd@4000000.m3u8
江西卫视,http://219.139.231.165:34567/bst/jxwshd@4000000.m3u8

内蒙古卫视,http://219.139.231.165:34567/bst/nmgws@1300000.m3u8
宁夏卫视,http://219.139.231.165:34567/bst/nxws@1300000.m3u8
青海卫视,http://219.139.231.165:34567/bst/qhws@1300000.m3u8
山东卫视,http://219.139.231.165:34567/bst/sdwshd@4000000.m3u8
山西卫视,http://219.139.231.165:34567/bst/shanxiws@1300000.m3u8
陕西卫视,http://219.139.231.165:34567/bst/sxws@1300000.m3u8
东方卫视,http://219.139.231.165:34567/bst/hddfws@4000000.m3u8
四川卫视,http://219.139.231.165:34567/bst/scwshd4m@4000000.m3u8
天津卫视,http://219.139.231.165:34567/bst/tjwshd@4000000.m3u8
西藏卫视,http://219.139.231.165:34567/bst/xzws@2500000.m3u8
新疆兵团卫视,http://219.139.231.165:34567/bst/btws@1300000.m3u8
新疆卫视,http://219.139.231.165:34567/bst/xjws@1300000.m3u8
云南卫视,http://219.139.231.165:34567/bst/ynwshd4m@4000000.m3u8

央视咪咕,#genre#
CCTV-01,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226635/1.m3u8
CCTV-01,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV-02,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8
CCTV-03,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV-04,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV-05,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV-5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV-06,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV-07,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV-08,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV-09,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV-09,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8
CCTV-10,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV-11,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV-12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV-12,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226748/1.m3u8
CCTV-13,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV-14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8
CCTV-14,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV-16,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8
CCTV-17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8
CCTV-17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8
CHC影院,http://113.195.3.176:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=0&authid=0
CHC电影,http://113.195.3.176:9901/tsfile/live/1103_1.m3u8?key=txiptv&playlive=0&authid=0
CHC高清,http://113.195.3.176:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0

卫视咪咕,#genre#
北京卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226719/1.m3u8
东方卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226734/1.m3u8
浙江卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226690/1.m3u8
江苏卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226692/1.m3u8
湖南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8
深圳卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226688/1.m3u8
天津卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8
安徽卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226664/1.m3u8
安徽卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226655/1.m3u8
山东卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226693/1.m3u8
