央卫--iTV, #genre#
CCTV-01_ITV, http://mg.20191209.xyz:58888/gaoma/cctv1.m3u8
CCTV-02_ITV, http://mg.20191209.xyz:58888/gaoma/cctv2.m3u8
CCTV-03_ITV, http://mg.20191209.xyz:58888/gaoma/cctv3.m3u8
CCTV-04_ITV, http://mg.20191209.xyz:58888/gaoma/cctv4.m3u8
CCTV-05_ITV, http://mg.20191209.xyz:58888/gaoma/cctv5.m3u8
CCTV-5+_ITV, http://mg.20191209.xyz:58888/gaoma/cctv5p.m3u8
CCTV-06_ITV, http://mg.20191209.xyz:58888/gaoma/cctv6.m3u8
CCTV-07_ITV, http://mg.20191209.xyz:58888/gaoma/cctv7.m3u8
CCTV-08_ITV, http://mg.20191209.xyz:58888/gaoma/cctv8.m3u8
CCTV-09_ITV, http://mg.20191209.xyz:58888/gaoma/cctv9.m3u8
CCTV-10_ITV, http://mg.20191209.xyz:58888/gaoma/cctv10.m3u8
CCTV-11_ITV, http://mg.20191209.xyz:58888/gaoma/cctv11.m3u8
CCTV-12_ITV, http://mg.20191209.xyz:58888/gaoma/cctv12.m3u8
CCTV-13_ITV, http://mg.20191209.xyz:58888/gaoma/cctv13.m3u8
CCTV-14_ITV, http://mg.20191209.xyz:58888/gaoma/cctv14.m3u8
CCTV-15_ITV, http://mg.20191209.xyz:58888/gaoma/cctv15.m3u8
CCTV-16_ITV, http://mg.20191209.xyz:58888/gaoma/cctv16.m3u8
CCTV-17_ITV, http://mg.20191209.xyz:58888/gaoma/cctv17.m3u8
CCTV-4k_ITV, http://mg.20191209.xyz:58888/gaoma/cctv4k.m3u8
CCTV-8k_ITV, http://mg.20191209.xyz:58888/gaoma/cctv8k_36m.m3u8
CCTV-01_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-02_ITV, http://mg.20191209.xyz:58888/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-03_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-04_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-05_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-06_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-07_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-08_ITV, http://mg.20191209.xyz:58888/itv/1000000005000265008.m3u8?cdn=ystenlive
